happy,comp,sex,age,edu,employ,rel_per,rel_den,social_class,people_trust
Very happy,1,Female,30,Upper secondary education (ISCED 3),Homemaker not otherwise employed,A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,5,Female,40,Lower secondary education (ISCED 2),Homemaker not otherwise employed,A religious person,Muslim,Lower middle class,Most people can be trusted
Quite happy,1,Female,40,Post-secondary non-tertiary education (ISCED 4),Homemaker not otherwise employed,A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,5,Female,24,Post-secondary non-tertiary education (ISCED 4),Homemaker not otherwise employed,A religious person,Muslim,Lower middle class,Most people can be trusted
Very happy,10,Female,30,Upper secondary education (ISCED 3),Homemaker not otherwise employed,A religious person,Muslim,Lower class,Need to be very careful
Very happy,6,Female,30,Post-secondary non-tertiary education (ISCED 4),Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Very happy,2,Female,55,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Lower middle class,Need to be very careful
Quite happy,2,Female,27,Lower secondary education (ISCED 2),Homemaker not otherwise employed,A religious person,Muslim,Lower class,Need to be very careful
Quite happy,4,Female,24,Upper secondary education (ISCED 3),Homemaker not otherwise employed,A religious person,Muslim,Lower class,Need to be very careful
Very happy,1,Female,42,Upper secondary education (ISCED 3),Homemaker not otherwise employed,A religious person,Muslim,Lower middle class,Need to be very careful
Quite happy,8,Female,45,Upper secondary education (ISCED 3),Homemaker not otherwise employed,A religious person,Muslim,Upper middle class,Need to be very careful
Quite happy,6,Female,38,Upper secondary education (ISCED 3),Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Very happy,3,Female,50,Lower secondary education (ISCED 2),Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Quite happy,2,Female,30,Upper secondary education (ISCED 3),Homemaker not otherwise employed,A religious person,Muslim,Lower middle class,Most people can be trusted
Quite happy,4,Female,42,Upper secondary education (ISCED 3),Homemaker not otherwise employed,A religious person,Muslim,Lower class,Need to be very careful
Very happy,5,Female,31,Upper secondary education (ISCED 3),Homemaker not otherwise employed,A religious person,Muslim,Lower class,Most people can be trusted
Very happy,10,Female,45,Lower secondary education (ISCED 2),Homemaker not otherwise employed,A religious person,Muslim,Lower class,Need to be very careful
Quite happy,7,Female,42,Primary education (ISCED 1),Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Very happy,4,Female,32,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Very happy,2,Female,31,Post-secondary non-tertiary education (ISCED 4),Homemaker not otherwise employed,A religious person,Muslim,Lower class,Most people can be trusted
Very happy,4,Female,32,Upper secondary education (ISCED 3),Homemaker not otherwise employed,A religious person,Muslim,Lower class,Most people can be trusted
Quite happy,4,Female,32,Upper secondary education (ISCED 3),Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Very happy,6,Female,27,Lower secondary education (ISCED 2),Homemaker not otherwise employed,A religious person,Muslim,Lower class,Most people can be trusted
Very happy,5,Female,47,Upper secondary education (ISCED 3),Homemaker not otherwise employed,A religious person,Muslim,Working class,Most people can be trusted
Not very happy,2,Female,29,Post-secondary non-tertiary education (ISCED 4),Homemaker not otherwise employed,A religious person,Muslim,Working class,Most people can be trusted
Quite happy,10,Female,39,Upper secondary education (ISCED 3),Homemaker not otherwise employed,A religious person,Muslim,Upper middle class,Need to be very careful
Quite happy,1,Female,27,Post-secondary non-tertiary education (ISCED 4),Homemaker not otherwise employed,A religious person,Muslim,Lower middle class,Most people can be trusted
Quite happy,1,Male,32,Lower secondary education (ISCED 2),Self employed,Don't know,Muslim,Upper middle class,Need to be very careful
Very happy,1,Female,19,Primary education (ISCED 1),Homemaker not otherwise employed,A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,1,Female,24,Post-secondary non-tertiary education (ISCED 4),Homemaker not otherwise employed,A religious person,Muslim,Lower middle class,Need to be very careful
